User_ID,Full_name,Gender,Email,Phone,Library_Card_Number,Registration_Date,Expiration_Date,Classes_ID,Salary,
TC_C01,JON YANG,M,JONYANG@gmail.com,+84 0459148627,TC01,42018,45299,BADPM1,13931102,2015-01-14
TC_C02,EUGENE HUANG,M,EUGENEHUANG@gmail.com,+84 0944232456,TC02,42145,45514,MAPM1,10877632,
TC_C03,RUBEN TORRES,M,RUBENTORRES@gmail.com,+84 0689185864,TC03,42255,45430,PYBPM1,9646638,
TC_C04,CHRISTY ZHU,F,CHRISTYZHU@gmail.com,+84 0727414275,TC04,42135,45366,MASPM1,14559103,
TC_C05,ELIZABETH JOHNSON,F,ELIZABETHJOHNSON@gmail.com,+84 0922932658,TC05,42286,45387,SQLAM1,21928057,
TC_C06,JULIO RUIZ,M,JULIORUIZ@gmail.com,+84 0728611827,TC06,42080,45581,SCSPM1,18777587,
TC_C07,MARCO MEHTA,M,MARCOMEHTA@gmail.com,+84 0356229283,TC07,42269,45294,DWLPM1,15418846,
TC_C08,ROBIN VERHOFF,F,ROBINVERHOFF@gmail.com,+84 0629374201,TC08,42193,45383,IBAPM1,12842177,
TC_C09,SHANNON CARLSON,M,SHANNONCARLSON@gmail.com,+84 0395344662,TC09,42114,45384,MAPM1,14944624,
TC_C10,JACQUELYN SUAREZ,F,JACQUELYNSUAREZ@gmail.com,+84 0497688835,TC10,42288,45448,VBAPM1,13099928,
TC_C11,CURTIS LU,M,CURTISLU@gmail.com,+84 0482438033,TC11,42140,45585,MAPM1,14906985,
TC_C12,LAUREN WALKER,F,LAURENWALKER@gmail.com,+84 0427131143,TC12,42030,45327,EXCPM1,18864452,
TC_C13,IAN JENKINS,M,IANJENKINS@gmail.com,+84 0742927845,TC13,42249,45548,PSQPM1,9943958,
TC_C14,SYDNEY BENNETT,F,SYDNEYBENNETT@gmail.com,+84 0386561262,TC14,42038,45536,MAPM1,21894443,
TC_C15,CHLOE YOUNG,F,CHLOEYOUNG@gmail.com,+84 0326262261,TC15,42239,45524,PYBPM1,18254243,
TC_C16,WYATT HILL,M,WYATTHILL@gmail.com,+84 0350876561,TC16,42144,45425,MASPM1,20252164,
TC_C17,SHANNON WANG,F,SHANNONWANG@gmail.com,+84 0434360285,TC17,42271,45404,DWLPM1,23571356,
TC_C18,CLARENCE RAI,M,CLARENCERAI@gmail.com,+84 0690142387,TC18,42194,45481,PYCAM1,15921647,
TC_C19,LUKE LAL,M,LUKELAL@gmail.com,+84 0523711739,TC19,42284,45486,BUSAM1,13689921,
TC_C20,JORDAN KING,M,JORDANKING@gmail.com,+84 0633322088,TC20,42265,45300,PYCAM1,16829879,
TC_C21,DESTINY WILSON,F,DESTINYWILSON@gmail.com,+84 0944256066,TC21,42047,45327,VBAPM1,17479610,
TC_C22,ETHAN ZHANG,M,ETHANZHANG@gmail.com,+84 0327789580,TC22,42267,45484,IDSPM1,23502656,
TC_C23,SETH EDWARDS,M,SETHEDWARDS@gmail.com,+84 0329620229,TC23,42293,45554,SCMAM1,19099116,
TC_C24,RUSSELL XIE,M,RUSSELLXIE@gmail.com,+84 0423762885,TC24,42087,45342,BADPM1,13629674,
TC_C25,ALEJANDRO BECK,NA,ALEJANDROBECK@gmail.com,+84 0993285606,TC25,42303,45427,IDSPM1,12475673,
TC_C26,HAROLD SAI,M,HAROLDSAI@gmail.com,+84 0478781088,TC26,42248,45338,MAPM1,15093591,
TC_C27,JESSIE ZHAO,M,JESSIEZHAO@gmail.com,+84 0718435630,TC27,42166,45296,MAPM1,8261204,
TC_C28,JILL JIMENEZ,F,JILLJIMENEZ@gmail.com,+84 0825917866,TC28,42209,45436,VBAPM1,10344156,
TC_C29,JIMMY MORENO,M,JIMMYMORENO@gmail.com,+84 0962822516,TC29,42197,45544,SCSPM1,14362068,
TC_C30,BETHANY YUAN,F,BETHANYYUAN@gmail.com,+84 0361842820,TC30,42280,45492,PYBPM1,10671074,
